Name,ast_ra,ast_dec,dist_center_ra,dist_center_dec,dist_center_norm,visual_magnitude,ra_rate,dec_rate,streak_length
29804 Idansharon (1999 CH90),07:00:38.04,+25 0816.7,1000.0,1000.0,1880.0,18.1,-38.86,1.735,0.3241559365190703
73068 (2002 FK33),06:59:26.94,+24 2827.1,333.0,-1000.0,1083.0,18.4,-40.73,13.53,0.35765379364842625
74445 (1999 CP14),06:57:00.73,+24 2920.3,-2000.0,-977.0,1927.0,18.5,-30.94,-0.5572,0.25787514095434294
88952 (2001 TW38),07:00:25.60,+24 5648.8,1000.0,671.0,1315.0,19.7,-38.73,-1.1840000000000002,0.3229007798242536
98137 (2000 SO41),06:57:26.95,+24 4302.3,-1000.0,-155.0,1311.0,19.1,-40.7,5.688,0.34246282685537976
115314 (2003 SY215),06:59:45.87,+24 2404.2,591.0,-1000.0,1422.0,18.8,-31.31,4.383,0.2634607799454113
134229 (2005 YK30),06:57:46.10,+25 0702.2,-1000.0,1000.0,1652.0,19.4,-32.43,5.392,0.2739599732523794
193310 (2000 SR303),06:59:19.96,+24 2409.8,238.0,-1000.0,1310.0,19.7,-38.86,-3.736,0.3253264702144943
234596 (2001 YO93),06:57:47.75,+24 2126.5,-1000.0,-1000.0,1774.0,19.4,-35.98,1.992,0.3002925036989398
351375 (2005 EB41),07:00:01.18,+24 2556.5,799.0,-1000.0,1427.0,18.9,-36.62,23.75,0.36372750980492097
(2021 AY2),06:57:09.45,+24 5742.4,-2000.0,725.0,1701.0,19.2,1752.0,-760.0,15.914493743475195
